Identifiant_de_l_etablissement;Type_etablissement;Statut_public_prive;Type_contrat_prive;Nom_etablissement;Adresse_1;Adresse_2;Adresse_3;Code_postal;Code_commune;Nom_commune;Code_departement;Libelle_departement;Code_academie;Libelle_academie;Code_region;Libelle_region;Ecole_maternelle;Ecole_elementaire;Voie_generale;Voie_technologique;Voie_professionnelle;Telephone;Fax;Web;Mail;Restauration;Hebergement;ULIS;Lycee_des_metiers;Apprentissage;Segpa;Post_BAC;Section_arts;Section_cinema;Section_theatre;Section_sport;Section_internationale;Section_europeenne;Lycee_Agricole;Lycee_militaire;Nombre_d_eleves;GRETA;SIREN_SIRET;Fiche_onisep;Appartenance_Education_Prioritaire;coordX_origine;coordY_origine;epsg_origine;nom_circonscription;latitude;longitude;position;precision_localisation;date_ouverture;date_maj_ligne;etat;ministere_tutelle;multi_uai;rpi_concentre;rpi_disperse;code_nature;libelle_nature
0070274K;Ecole;Public;SANS OBJET;Ecole primaire;Rue Fr�re Serdieu ;;07110 LAURAC EN VIVARAIS;07110;07134;Laurac-en-Vivarais;07;Ard�che;08;Grenoble;84;Auvergne-Rh�ne-Alpes;1;1;;;;0475368376;;;ce.0070274K@ac-grenoble.fr;0;0;0;;;;;;;;;;;;;93;;21070134800026;;;802481.8;6379721.7;EPSG:2154;Circonscription d'inspection du 1er degr� d'Aubenas 2;44.50902955433944;4.289298600397125;44.50902955433944,4.289298600397125;Num�ro de rue;1966-10-17;2019-09-11;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE
0070279R;Ecole;Public;SANS OBJET;Ecole �l�mentaire; LE VILLAGE;;07110 ROCLES;07110;07196;Rocles;07;Ard�che;08;Grenoble;84;Auvergne-Rh�ne-Alpes;0;1;;;;0475883098;;;ce.0070279R@ac-grenoble.fr;1;0;0;;;;;;;;;;;;;22;;21070196700023;;;796655.9;6385678.9;EPSG:2154;Circonscription d'inspection du 1er degr� d'Aubenas 2;44.56348362989564;4.217171486883387;44.56348362989564,4.217171486883387;Ville;1966-10-17;2019-09-11;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;007004;151;ECOLE DE NIVEAU ELEMENTAIRE
0070280S;Ecole;Public;SANS OBJET;Ecole primaire; LE VILLAGE;;07110 SANILHAC;07110;07307;Sanilhac;07;Ard�che;08;Grenoble;84;Auvergne-Rh�ne-Alpes;1;1;;;;0475391572;;;ce.0070280S@ac-grenoble.fr;0;0;0;;;;;;;;;;;;;25;;21070307000024;;;799313.6;6382650.2;EPSG:2154;Circonscription d'inspection du 1er degr� d'Aubenas 2;44.53584779176649;4.250030206072892;44.53584779176649,4.250030206072892;Ville;1966-10-17;2019-09-11;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;007008;151;ECOLE DE NIVEAU ELEMENTAIRE
0070284W;Ecole;Public;SANS OBJET;Ecole primaire; LE VILLAGE;;07110 VALGORGE;07110;07329;Valgorge;07;Ard�che;08;Grenoble;84;Auvergne-Rh�ne-Alpes;1;1;;;;0475889929;;;ce.0070284W@ac-grenoble.fr;0;0;0;;;;;;;;;;;;;35;;21070329400020;;;789631.6;6388298.6;EPSG:2154;Circonscription d'inspection du 1er degr� d'Aubenas 2;44.58800421595603;4.129199917315659;44.58800421595603,4.129199917315659;Ville;1966-10-14;2019-09-11;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE
0070286Y;Ecole;Public;SANS OBJET;Ecole primaire;Hameau de la Roche ;;07110 BEAUMONT;07110;07029;Beaumont;07;Ard�che;08;Grenoble;84;Auvergne-Rh�ne-Alpes;1;1;;;;0475399041;;;ce.0070286Y@ac-grenoble.fr;0;0;0;;;;;;;;;;;;;19;;21070029000021;;;794273.3;6383637.0;EPSG:2154;Circonscription d'inspection du 1er degr� d'Aubenas 2;44.54543032366466;4.186785947384292;44.54543032366466,4.186785947384292;Num�ro de rue;1966-10-14;2019-09-11;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE
0070287Z;Ecole;Public;SANS OBJET;Ecole primaire; LE VILLAGE;;07260 DOMPNAC;07260;07081;Dompnac;07;Ard�che;08;Grenoble;84;Auvergne-Rh�ne-Alpes;1;1;;;;0475369546;;;ce.0070287Z@ac-grenoble.fr;0;0;0;;;;;;;;;;;;;17;;21070081100024;;;787562.5;6385643.3;EPSG:2154;Circonscription d'inspection du 1er degr� d'Aubenas 2;44.564365655047176;4.102669229986714;44.564365655047176,4.102669229986714;Ville;1966-10-14;2019-09-11;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;1;;151;ECOLE DE NIVEAU ELEMENTAIRE
0070289B;Ecole;Public;SANS OBJET;Ecole primaire; LE VILLAGE;;07140 MONTSELGUES;07140;07163;Montselgues;07;Ard�che;08;Grenoble;84;Auvergne-Rh�ne-Alpes;1;1;;;;0475351263;;;ce.0070289B@ac-grenoble.fr;0;0;0;;;;;;;;;;;;;14;;21070163700030;;;779920.5;6380993.7;EPSG:2154;Circonscription d'inspection du 1er degr� d'Aubenas 2;44.52343060390809;4.0056991976823095;44.52343060390809,4.0056991976823095;Ville;1966-10-14;2019-09-11;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE
0070440R;Ecole;Public;SANS OBJET;Ecole primaire; ANTRAIGUES SUR VOLANE;;07530 VALLEES D ANTRAIGUES ASPERJOC;07530;07011;Vall�es-d'Antraigues-Asperjoc;07;Ard�che;08;Grenoble;84;Auvergne-Rh�ne-Alpes;1;1;;;;0475387157;;;ce.0070440R@ac-grenoble.fr;0;0;0;;;;;;;;;;;;;39;;21070011800024;;;807580.2;6402927.2;EPSG:2154;Circonscription d'inspection du 1er degr� d'Aubenas 1;44.71713984552059;4.358450035576504;44.71713984552059,4.358450035576504;Ville;1967-02-06;2019-09-11;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE
0070461N;Ecole;Public;SANS OBJET;Ecole primaire Bancherole;Place du Village ;;07530 ST JOSEPH DES BANCS;07530;07251;Saint-Joseph-des-Bancs;07;Ard�che;08;Grenoble;84;Auvergne-Rh�ne-Alpes;1;1;;;;0475882460;;;ce.0070461N@ac-grenoble.fr;0;0;0;;;;;;;;;;;;;19;;21070251000020;;;811793.2;6405130.5;EPSG:2154;Circonscription d'inspection du 1er degr� d'Aubenas 1;44.73630762638581;4.412135328159608;44.73630762638581,4.412135328159608;Num�ro de rue;1967-02-06;2019-09-11;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;007016;151;ECOLE DE NIVEAU ELEMENTAIRE
0070539Y;Ecole;Public;SANS OBJET;Ecole primaire Saint-Pierre;Quartier Saint Pierre ;;07200 AUBENAS;07200;07019;Aubenas;07;Ard�che;08;Grenoble;84;Auvergne-Rh�ne-Alpes;1;1;;;;0475350231;;;ce.0070539Y@ac-grenoble.fr;1;0;0;;;;;;;;;;;;;80;;21070019100096;;;811395.5;6389723.3;EPSG:2154;Circonscription d'inspection du 1er degr� d'Aubenas 1;44.597686196072424;4.40365355524576;44.597686196072424,4.40365355524576;Num�ro de rue;1967-01-20;2019-09-11;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE
0070546F;Ecole;Public;SANS OBJET;Ecole primaire; LE VILLAGE;;07200 LENTILLERES;07200;07141;Lentill�res;07;Ard�che;08;Grenoble;84;Auvergne-Rh�ne-Alpes;1;1;;;;0475351892;;;ce.0070546F@ac-grenoble.fr;0;0;0;;;;;;;;;;;;;19;;21070141300028;;;804134.0;6391473.9;EPSG:2154;Circonscription d'inspection du 1er degr� d'Aubenas 1;44.61456802595969;4.312538143490829;44.61456802595969,4.312538143490829;Ville;1967-01-20;2019-09-11;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;007001;101;ECOLE MATERNELLE
0070547G;Ecole;Public;SANS OBJET;Ecole primaire; LE VILLAGE;;07200 MERCUER;07200;07155;Mercuer;07;Ard�che;08;Grenoble;84;Auvergne-Rh�ne-Alpes;1;1;;;;0475933037;;;ce.0070547G@ac-grenoble.fr;1;0;0;;;;;;;;;;;;;83;;21070155300021;;;807737.0;6393342.4;EPSG:2154;Circonscription d'inspection du 1er degr� d'Aubenas 1;44.63083844406964;4.358347795936633;44.63083844406964,4.358347795936633;Ville;1967-01-20;2019-09-11;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE
0070554P;Ecole;Public;SANS OBJET;Ecole primaire; LE VILLAGE;;07200 ST JULIEN DU SERRE;07200;07254;Saint-Julien-du-Serre;07;Ard�che;08;Grenoble;84;Auvergne-Rh�ne-Alpes;1;1;;;;0475379640;;;ce.0070554P@ac-grenoble.fr;0;0;0;;;;;;;;;;;;;62;;21070254400029;;;811833.0;6396251.2;EPSG:2154;Circonscription d'inspection du 1er degr� d'Aubenas 1;44.65637490342875;4.41063447173951;44.65637490342875,4.41063447173951;Num�ro de rue;1967-01-20;2019-09-11;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE
0070573K;Ecole;Public;SANS OBJET;Ecole maternelle Beausoleil;18 rue Georges Couderc ;;07200 AUBENAS;07200;07019;Aubenas;07;Ard�che;08;Grenoble;84;Auvergne-Rh�ne-Alpes;1;0;;;;0475936110;;;ce.0070573K@ac-grenoble.fr;1;0;0;;;;;;;;;;;;;76;;21070019100070;;;810230.4;6391718.4;EPSG:2154;Circonscription d'inspection du 1er degr� d'Aubenas 1;44.6158298755841;4.389417913132426;44.6158298755841,4.389417913132426;Num�ro de rue;1967-01-20;2019-09-11;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE
0070598M;Ecole;Public;SANS OBJET;Ecole primaire; LE VILLAGE;;07160 MARIAC;07160;07150;Mariac;07;Ard�che;08;Grenoble;84;Auvergne-Rh�ne-Alpes;1;1;;;;0475294528;;;ce.0070598M@ac-grenoble.fr;0;0;0;;;;;;;;;;;;;51;;21070150400024;;;807828.3;6421270.6;EPSG:2154;Circonscription d'inspection du 1er degr� d'Aubenas 1;44.88222579213475;4.365587661497671;44.88222579213475,4.365587661497671;Ville;1967-01-30;2019-09-11;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE
0070612C;Ecole;Public;SANS OBJET;Ecole primaire; LE VILLAGE;;07160 ST MICHEL D AURANCE;07160;07276;Saint-Michel-d'Aurance;07;Ard�che;08;Grenoble;84;Auvergne-Rh�ne-Alpes;1;1;;;;0475292911;;;ce.0070612C@ac-grenoble.fr;0;0;0;;;;;;;;;;;;;28;;21070276700026;;;815241.2;6423603.2;EPSG:2154;Circonscription d'inspection du 1er degr� d'Aubenas 1;44.90202982862576;4.45999351466519;44.90202982862576,4.45999351466519;Ville;1967-01-30;2019-09-11;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE
0070616G;Ecole;Public;SANS OBJET;Ecole primaire; LE VILLAGE;;07310 ARCENS;07310;07012;Arcens;07;Ard�che;08;Grenoble;84;Auvergne-Rh�ne-Alpes;1;1;;;;0475304705;;;ce.0070616G@ac-grenoble.fr;0;0;0;;;;;;;;;;;;;19;;21070012600027;;;804676.6;6423192.7;EPSG:2154;Circonscription d'inspection du 1er degr� d'Aubenas 1;44.90001244389716;4.326089449635504;44.90001244389716,4.326089449635504;Ville;1967-01-30;2019-09-11;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE
0070661F;Ecole;Public;SANS OBJET;Ecole �l�mentaire;Via Capannori ;;07320 ST AGREVE;07320;07204;Saint-Agr�ve;07;Ard�che;08;Grenoble;84;Auvergne-Rh�ne-Alpes;0;1;;;;0475301505;;;ce.0070661F@ac-grenoble.fr;1;0;0;;;;;;;;;;;;;111;;21070204900037;;;809986.5;6435400.9;EPSG:2154;Circonscription d'inspection du 1er degr� d'Aubenas 1;45.009090175853814;4.3960780850923316;45.009090175853814,4.3960780850923316;Num�ro de rue;1967-01-30;2019-09-11;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE
0070670R;Ecole;Public;SANS OBJET;Ecole primaire; LE VILLAGE;;07320 DEVESSET;07320;07080;Devesset;07;Ard�che;08;Grenoble;84;Auvergne-Rh�ne-Alpes;1;1;;;;0475300606;;;ce.0070670R@ac-grenoble.fr;0;0;0;;;;;;;;;;;;;10;;21070080300021;;;809172.9;6441898.8;EPSG:2154;Circonscription d'inspection du 1er degr� d'Aubenas 1;45.06771624200335;4.387201877709484;45.06771624200335,4.387201877709484;Ville;1985-09-27;2019-09-11;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE
0070874M;Ecole;Public;SANS OBJET;Ecole maternelle;Rue des Ecoles ;;07320 ST AGREVE;07320;07204;Saint-Agr�ve;07;Ard�che;08;Grenoble;84;Auvergne-Rh�ne-Alpes;1;0;;;;0475301424;;;ce.0070874M@ac-grenoble.fr;0;0;0;;;;;;;;;;;;;63;;21070204900029;;;809951.6;6435366.6;EPSG:2154;Circonscription d'inspection du 1er degr� d'Aubenas 1;45.00878694936526;4.395627491209825;45.00878694936526,4.395627491209825;Num�ro de rue;1969-07-01;2019-09-11;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE
0070904V;Ecole;Public;SANS OBJET;Ecole primaire Centre;Quartier Sainte Foi ;;07110 LARGENTIERE;07110;07132;Largenti�re;07;Ard�che;08;Grenoble;84;Auvergne-Rh�ne-Alpes;1;1;;;;0475392580;;;ce.0070904V@ac-grenoble.fr;1;0;0;;;;;;;;;;;;;84;;21070132200062;;;803150.3;6383531.3;EPSG:2154;Circonscription d'inspection du 1er degr� d'Aubenas 2;44.54322133782613;4.298495399518966;44.54322133782613,4.298495399518966;Num�ro de rue;1970-06-01;2019-09-11;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE
0071086T;Ecole;Priv�;CONTRAT D'ASSOCIATION TOUTES CLASSES;Ecole primaire priv�e Sacr�-Coeur; MONTEE CHAMPAGNAT;;07110 LARGENTIERE;07110;07132;Largenti�re;07;Ard�che;08;Grenoble;84;Auvergne-Rh�ne-Alpes;1;1;;;;0475391358;;;ce.0071086T@ac-grenoble.fr;1;0;0;;;;;;;;;;;;;86;;77625089600029;;;802488.6;6383376.5;EPSG:2154;Circonscription d'inspection du 1er degr� d'Aubenas 2;44.541925603418235;4.290135318302006;44.541925603418235,4.290135318302006;Rue;1971-05-12;2019-09-11;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE
0071087U;Ecole;Priv�;CONTRAT D'ASSOCIATION TOUTES CLASSES;Ecole primaire priv�e;70 rue Fr�re Serdieu ;;07110 LAURAC EN VIVARAIS;07110;07134;Laurac-en-Vivarais;07;Ard�che;08;Grenoble;84;Auvergne-Rh�ne-Alpes;1;1;;;;0475368538;;;ce.0071087U@ac-grenoble.fr;1;0;0;;;;;;;;;;;;;74;;30239630400016;;;802521.3;6379720.3;EPSG:2154;Circonscription d'inspection du 1er degr� d'Aubenas 2;44.509011146077036;4.289795164248715;44.509011146077036,4.289795164248715;Num�ro de rue;1971-05-12;2019-09-11;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE
0071108S;Ecole;Priv�;CONTRAT D'ASSOCIATION TOUTES CLASSES;Ecole primaire priv�e Saint Joseph;Chemin du Rousselet ;;07140 LES VANS;07140;07334;Les Vans;07;Ard�che;08;Grenoble;84;Auvergne-Rh�ne-Alpes;1;1;;;;0475949168;;;ce.0071108S@ac-grenoble.fr;1;0;0;;;;;;;;;;;;;60;;77628163600014;;;790417.4;6367975.2;EPSG:2154;Circonscription d'inspection du 1er degr� d'Aubenas 2;44.4049675025512;4.13541686694306;44.4049675025512,4.13541686694306;Num�ro de rue;1971-05-12;2019-09-11;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE
0071114Y;Ecole;Public;SANS OBJET;Ecole �l�mentaire;Route de Paiolive ;;07140 LES VANS;07140;07334;Les Vans;07;Ard�che;08;Grenoble;84;Auvergne-Rh�ne-Alpes;0;1;;;;0475372322;;;ce.0071114Y@ac-grenoble.fr;1;0;0;;;;;;;;;;;;;144;;21070334400049;;;790284.1;6367860.8;EPSG:2154;Circonscription d'inspection du 1er degr� d'Aubenas 2;44.40395504609258;4.133722557260731;44.40395504609258,4.133722557260731;Num�ro de rue;1971-05-21;2019-09-11;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE
0071120E;Ecole;Public;SANS OBJET;Ecole maternelle;Rue du Temple ;;07140 LES VANS;07140;07334;Les Vans;07;Ard�che;08;Grenoble;84;Auvergne-Rh�ne-Alpes;1;0;;;;0475949209;;;ce.0071120E@ac-grenoble.fr;1;0;0;;;;;;;;;;;;;71;;21070334400056;;;790277.5;6367853.9;EPSG:2154;Circonscription d'inspection du 1er degr� d'Aubenas 2;44.40389379319685;4.133638446761292;44.40389379319685,4.133638446761292;Num�ro de rue;1971-10-02;2019-09-11;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE
0071130R;Ecole;Public;SANS OBJET;Ecole primaire;Place de l'Eglise ;;07230 PAYZAC;07230;07171;Payzac;07;Ard�che;08;Grenoble;84;Auvergne-Rh�ne-Alpes;1;1;;;;0475398063;;;ce.0071130R@ac-grenoble.fr;0;0;0;;;;;;;;;;;;;53;;21070171000027;;;791681.3;6373425.6;EPSG:2154;Circonscription d'inspection du 1er degr� d'Aubenas 2;44.453861388940275;4.1522847720750695;44.453861388940275,4.1522847720750695;Num�ro de rue;1972-06-06;2019-09-11;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE
0071141C;Ecole;Public;SANS OBJET;Ecole primaire;75 rue de la Poste ;;07310 ST MARTIN DE VALAMAS;07310;07269;Saint-Martin-de-Valamas;07;Ard�che;08;Grenoble;84;Auvergne-Rh�ne-Alpes;1;1;;;;0475304186;;;ce.0071141C@ac-grenoble.fr;1;0;0;;;;;;;;;;;;;56;;21070269200034;;;807947.0;6427298.6;EPSG:2154;Circonscription d'inspection du 1er degr� d'Aubenas 1;44.936472297453975;4.3684134910396;44.936472297453975,4.3684134910396;Num�ro de rue;1972-06-06;2019-09-11;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE
0071214G;Ecole;Public;SANS OBJET;Ecole primaire;Quartier Soul�ge ;;07260 JOYEUSE;07260;07110;Joyeuse;07;Ard�che;08;Grenoble;84;Auvergne-Rh�ne-Alpes;1;1;;;;0475394081;;;ce.0071214G@ac-grenoble.fr;1;0;1;;;;;;;;;;;;;145;;21070110800032;;;798221.5;6376489.6;EPSG:2154;Circonscription d'inspection du 1er degr� d'Aubenas 2;44.48055047648795;4.235073779936985;44.48055047648795,4.235073779936985;Num�ro de rue;1976-05-31;2019-09-11;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE
0071261H;Ecole;Public;SANS OBJET;Ecole primaire; LE VILLAGE;;07110 JOANNAS;07110;07109;Joannas;07;Ard�che;08;Grenoble;84;Auvergne-Rh�ne-Alpes;1;1;;;;0475883467;;;ce.0071261H@ac-grenoble.fr;1;0;0;;;;;;;;;;;;;23;;21070109000024;;;799436.4;6385829.5;EPSG:2154;Circonscription d'inspection du 1er degr� d'Aubenas 2;44.564447843175124;4.25221014008606;44.564447843175124,4.25221014008606;Ville;1978-09-15;2019-09-11;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;007004;151;ECOLE DE NIVEAU ELEMENTAIRE
